INFO  2019-05-29 11:59:47,821 11594ms PlayAudioController    GetAudioURL        - Get audio download URL for cacheid 1957
INFO  2019-05-29 11:59:48,055 11828ms PlayAudioController    GetAudioURL        - tmp download url: /dl/1957.wav
INFO  2019-05-29 11:59:48,055 11828ms PlayAudioController    GetAudioURL        - origin virtual path: syncfiles\2019\5\29\16-209-A-90918909966---20190529105725.wav
INFO  2019-05-29 11:59:48,055 11828ms PlayAudioController    GetAudioURL        - copy  from syncfiles\2019\5\29\16-209-A-90918909966---20190529105725.wav to c:\tmp\1022staticfiles\1957.wav
ERROR 2019-05-29 11:59:48,055 11828ms PlayAudioController    GetAudioURL        - System.IO.DirectoryNotFoundException: Could not find a part of the path 'syncfiles\2019\5\29\16-209-A-90918909966---20190529105725.wav'.
   at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   at System.IO.File.InternalCopy(String sourceFileName, String destFileName, Boolean overwrite, Boolean checkHost)
   at WebUI.Controllers.PlayAudioController.GetAudioURL(Int32 audio_id)
INFO  2019-05-29 11:59:57,618 21391ms PlayAudioController    GetAudioURL        - Get audio download URL for cacheid 1956
INFO  2019-05-29 11:59:57,634 21407ms PlayAudioController    GetAudioURL        - tmp download url: /dl/1956.wav
INFO  2019-05-29 11:59:57,634 21407ms PlayAudioController    GetAudioURL        - origin virtual path: syncfiles\2019\5\29\16-209-A-90918909966---20190529104814.wav
INFO  2019-05-29 11:59:57,634 21407ms PlayAudioController    GetAudioURL        - copy  from syncfiles\2019\5\29\16-209-A-90918909966---20190529104814.wav to c:\tmp\1022staticfiles\1956.wav
ERROR 2019-05-29 11:59:57,634 21407ms PlayAudioController    GetAudioURL        - System.IO.DirectoryNotFoundException: Could not find a part of the path 'syncfiles\2019\5\29\16-209-A-90918909966---20190529104814.wav'.
   at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   at System.IO.File.InternalCopy(String sourceFileName, String destFileName, Boolean overwrite, Boolean checkHost)
   at WebUI.Controllers.PlayAudioController.GetAudioURL(Int32 audio_id)
